dataset,method,dim,quant,bytes,ndcg@10,n_queries,recall@10,recall@100
scidocs,mrl,256,binary_sym,32.0,0.1237209730331254,1000,0.12923333333333334,0.30731666666666674
scidocs,mrl,128,binary,16.0,0.10653091827305959,1000,0.11068333333333334,0.27094999999999997
scidocs,mrl,128,binary_sym,16.0,0.08047374568075032,1000,0.08191666666666665,0.21006666666666665
scidocs,pca_in,512,binary,64.0,0.19109755708063883,1000,0.19778333333333337,0.4141166666666667
scidocs,pca_in,512,binary_sym,64.0,0.1582064794344553,1000,0.15794999999999998,0.3140333333333334
scidocs,pca_in,256,binary,32.0,0.17735923508805512,1000,0.18281666666666666,0.40913333333333335
scidocs,pca_in,256,binary_sym,32.0,0.14139642512055037,1000,0.14556666666666668,0.30855000000000005
scidocs,pca_in,128,binary,16.0,0.1551031617993628,1000,0.16018333333333334,0.37688333333333335
scidocs,pca_in,128,binary_sym,16.0,0.11577107579827364,1000,0.11978333333333332,0.27779999999999994
trec-covid,full,1536,int8,1536.0,0.7776837043029902,50,0.02202734698780144,0.15927820057944106
trec-covid,mrl,512,int8,512.0,0.7701141379498853,50,0.021620029311811464,0.15647535397545967
trec-covid,mrl,128,int8,128.0,0.718420540667442,50,0.019063887078709693,0.1305237218559175
trec-covid,pca_in,512,int8,512.0,0.707958141054298,50,0.019885925387257156,0.14632291271559608
trec-covid,pca_in,128,int8,128.0,0.6637237093955218,50,0.016839144559268413,0.1295979240667106
trec-covid,full,1536,binary,192.0,0.7631652460672846,50,0.021551111864403998,0.15437143541250672
trec-covid,full,1536,binary_sym,192.0,0.7459849681270421,50,0.020920167373192702,0.15069418705871246
trec-covid,mrl,512,binary,64.0,0.7202551995889369,50,0.01992956547955316,0.143619432667716
trec-covid,mrl,512,binary_sym,64.0,0.6931572860622837,50,0.018360152377996312,0.12704612207594657
trec-covid,mrl,256,binary,32.0,0.6366278219626473,50,0.01763926548324186,0.1179991569752359
trec-covid,mrl,256,binary_sym,32.0,0.5459702761644216,50,0.014580497847599166,0.09334681844640282
trec-covid,mrl,128,binary,16.0,0.576972718907555,50,0.015303694553676304,0.08941104209929036
trec-covid,mrl,128,binary_sym,16.0,0.4013690564246484,50,0.01050657203353968,0.059109240130320505
trec-covid,pca_in,512,binary,64.0,0.6463617321344208,50,0.01888744330055447,0.13082590079264103
trec-covid,pca_in,512,binary_sym,64.0,0.5641585031977403,50,0.017128108193912132,0.10992737180592367
trec-covid,pca_in,256,binary,32.0,0.6434643569078021,50,0.018410170907384806,0.12837252377474936
trec-covid,pca_in,256,binary_sym,32.0,0.5768787102027123,50,0.01716385031621777,0.11072888544135391
trec-covid,pca_in,128,binary,16.0,0.6263126353884302,50,0.01750618273883234,0.11884273858655345
trec-covid,pca_in,128,binary_sym,16.0,0.532990980631356,50,0.015390975312770862,0.09758673190567625
webis-touche2020,full,1536,int8,1536.0,0.24506779438177698,49,0.1710555918300511,0.47892195477860067
webis-touche2020,mrl,512,int8,512.0,0.23980235332419791,49,0.1620441686151429,0.4730522096082593
webis-touche2020,mrl,128,int8,128.0,0.21934595678738314,49,0.14822557943355424,0.45243089703828115
webis-touche2020,pca_in,512,int8,512.0,0.23091026862025715,49,0.15235772795227315,0.4215713934222474
webis-touche2020,pca_in,128,int8,128.0,0.21109462811207025,49,0.14669920819964893,0.37359746058724447
webis-touche2020,full,1536,binary,192.0,0.23677229965950763,49,0.1688001751720313,0.4689143582198886
webis-touche2020,full,1536,binary_sym,192.0,0.22426335096838845,49,0.162723177667805,0.4537868972274531
webis-touche2020,mrl,512,binary,64.0,0.23092639936830997,49,0.16457716105940917,0.46702103623707814
webis-touche2020,mrl,512,binary_sym,64.0,0.21893564032893922,49,0.15074744175192706,0.44443141541316544
webis-touche2020,mrl,256,binary,32.0,0.20578180954196354,49,0.13748059851146968,0.4343281074151657
webis-touche2020,mrl,256,binary_sym,32.0,0.19780100505825346,49,0.1367589870389331,0.38089732148536987
webis-touche2020,mrl,128,binary,16.0,0.18518420378482892,49,0.12345463615520837,0.3683428559542504
webis-touche2020,mrl,128,binary_sym,16.0,0.1588334830429809,49,0.10391028550341475,0.29835477308417485
webis-touche2020,pca_in,512,binary,64.0,0.23868261446241368,49,0.16840540171509782,0.4612373247391015
webis-touche2020,pca_in,512,binary_sym,64.0,0.22550749633442993,49,0.15184914589033136,0.4399398788016756
webis-touche2020,pca_in,256,binary,32.0,0.23107928053375226,49,0.15980301371507014,0.4469056079951441
webis-touche2020,pca_in,256,binary_sym,32.0,0.2151989289085824,49,0.15051010299834044,0.41993716624319744
webis-touche2020,pca_in,128,binary,16.0,0.20812989203254792,49,0.14535701356307706,0.40407044119639124
webis-touche2020,pca_in,128,binary_sym,16.0,0.16375194361825138,49,0.11690707865217716,0.3814992741052216
quora,full,1536,int8,1536.0,0.8878408530525037,10000,0.9584838548928521,0.9958655411660929
quora,mrl,512,int8,512.0,0.886248718468635,10000,0.9574743791767752,0.9955666492809422
quora,mrl,128,int8,128.0,0.8742890614372547,10000,0.9487513123766587,0.9933403585633059
quora,pca_in,512,int8,512.0,0.8855348828679817,10000,0.9582793398303003,0.9956177650126407
quora,pca_in,128,int8,128.0,0.8645798936967607,10000,0.9436758612830981,0.9933634719403562
quora,full,1536,binary,192.0,0.8847448884716188,10000,0.9568427271450504,0.9957761050566641
quora,full,1536,binary_sym,192.0,0.881819027265975,10000,0.9557334885807585,0.9956049459622889
quora,mrl,512,binary,64.0,0.8780923100440287,10000,0.9521195093650009,0.9954346243980344
quora,mrl,512,binary_sym,64.0,0.8691797560254255,10000,0.9466042990469187,0.9944734688598286
quora,mrl,256,binary,32.0,0.8643936287558117,10000,0.9441708209176144,0.992973509946608
quora,mrl,256,binary_sym,32.0,0.8459198809309906,10000,0.9305307121620244,0.9890773727830534
quora,mrl,128,binary,16.0,0.8378033915431231,10000,0.9239508740080413,0.9858744271820756
quora,mrl,128,binary_sym,16.0,0.7922792781752208,10000,0.8856278861053047,0.9700879267059536
quora,pca_in,512,binary,64.0,0.8821734382823709,10000,0.956363765959843,0.9955606920062396
quora,pca_in,512,binary_sym,64.0,0.8721213225036728,10000,0.9486735423137393,0.9941537367189274
quora,pca_in,256,binary,32.0,0.869904505680789,10000,0.9499577159267634,0.9946002168217328
quora,pca_in,256,binary_sym,32.0,0.8565638168366868,10000,0.9400771934211709,0.9924134643137331
quora,pca_in,128,binary,16.0,0.8431133054566413,10000,0.9306403853102418,0.9899806049030274
quora,pca_in,128,binary_sym,16.0,0.8131067550837624,10000,0.9080720773025237,0.9839744449737944
