dataset,method,dim,ndcg@10,n_queries,recall@10,recall@100
scidocs,pca_in,256,0.19615236861021665,1000,0.20685000000000003,0.4495333333333333
scidocs,pca_in,128,0.17853950141257996,1000,0.18794999999999998,0.43696666666666667
scidocs,pca_in,64,0.15852131415452814,1000,0.1692,0.4040333333333333
scidocs,pca_in,32,0.11932891431775831,1000,0.12931666666666666,0.3451333333333334
scidocs,pca_ood,512,0.20097681602125902,1000,0.21055000000000001,0.44578333333333336
scidocs,pca_ood,256,0.19282830684397043,1000,0.2008,0.4346666666666667
scidocs,pca_ood,128,0.17479150723335032,1000,0.18395000000000003,0.4021
scidocs,pca_ood,64,0.14066275029904243,1000,0.14685000000000004,0.3388
scidocs,pca_ood,32,0.08699352156151491,1000,0.08906666666666668,0.23215000000000002
trec-covid,full,1536,0.7774848803490393,50,0.02202734698780144,0.15921610009104625
trec-covid,mrl,512,0.7698228406296758,50,0.021620029311811464,0.15620636080127082
trec-covid,mrl,256,0.7255612337372324,50,0.01995252907612973,0.1448643808660476
trec-covid,mrl,128,0.7209105348525149,50,0.019121172261453868,0.13039444191532898
trec-covid,mrl,64,0.6375516115176749,50,0.015991846894191083,0.0935729165349407
trec-covid,mrl,32,0.2924512053699929,50,0.007347818495029663,0.04244308727858101
trec-covid,pca_in,512,0.7068449517783892,50,0.01985452821300284,0.14617715785468688
trec-covid,pca_in,256,0.7003513906251997,50,0.019421517328388153,0.1417013942741232
trec-covid,pca_in,128,0.6643385451619617,50,0.016923936728613174,0.12973968710740647
trec-covid,pca_in,64,0.608209326849152,50,0.015868480657940866,0.10933332689093754
trec-covid,pca_in,32,0.46479169250387126,50,0.011446136995634357,0.08119478860377688
trec-covid,pca_ood,512,0.7642306612438508,50,0.02141552354507342,0.15639756078709408
trec-covid,pca_ood,256,0.7484378252064384,50,0.020860538995919064,0.15346515438004535
trec-covid,pca_ood,128,0.75656849222285,50,0.020871066118684282,0.145223486973816
trec-covid,pca_ood,64,0.6741024186583254,50,0.01785948922408259,0.12456383251616826
trec-covid,pca_ood,32,0.5196072131757752,50,0.013837891866738918,0.0897758195678261
webis-touche2020,full,1536,0.24329988187786877,49,0.16992180498197854,0.47892195477860067
webis-touche2020,mrl,512,0.24004274506995835,49,0.1620441686151429,0.4723938817609913
webis-touche2020,mrl,256,0.24086769683021458,49,0.1631272524580416,0.4657058564744339
webis-touche2020,mrl,128,0.21799018256902977,49,0.1470250992414774,0.4525780712925983
webis-touche2020,mrl,64,0.1773785917510118,49,0.12473294547422825,0.36304166879389266
webis-touche2020,mrl,32,0.10040260978183847,49,0.06735356785372787,0.25084299230777574
webis-touche2020,pca_in,512,0.22962286463910572,49,0.15078786923955728,0.42245870486856507
webis-touche2020,pca_in,256,0.22589436380199054,49,0.15151502671800796,0.4121078460343123
webis-touche2020,pca_in,128,0.2105830863684676,49,0.1458488680635945,0.37441647240249687
webis-touche2020,pca_in,64,0.1826624360965748,49,0.12367266993995792,0.30991063141408753
webis-touche2020,pca_in,32,0.12505665678453914,49,0.08319893695478672,0.21406296945307338
